20,Giovanna,admin6@gmail.com,t,$2b$12$u6VjCY/s1kLnEu43dHV1B.cAc9hAKwpyIZ1Zp0ETaHQOfvbM9neuu,,,,,,
21,Roberto,admin7@gmail.com,t,$2b$12$kfgc6Ej2YDStsxK29OcgsuMKJen44rCEhKDbY3z0qqo.FJuRGxEPa,,,,,,
5,Clarissa,user@gmail.com,f,$2b$12$xVJqDLjxrChAFhRvRpkPP.svGf7nB2lLZZG/jWH5pIZQzgHpAlQke,Viale Cristoforo Colombo,29,00018,RM,+39 333 444 5555,/images/profile-avatar.png
6,Giacomo,admin1@gmail.com,t,$2b$12$xVJqDLjxrChAFhRvRpkPP.svGf7nB2lLZZG/jWH5pIZQzgHpAlQke,,,,,,
4,Clarissa,admin@gmail.com,t,$2b$12$W0ZloGL8UgC.yS/ct4kN0el3TDpMJvslXVfI8yYYcB5wlbJLWgLB.,,,,,,
10,Carlo,admin5@gmail.com,t,$2b$12$xVJqDLjxrChAFhRvRpkPP.svGf7nB2lLZZG/jWH5pIZQzgHpAlQke,,,,,,
9,Guglielmo,admin4@gmail.com,t,$2b$12$xVJqDLjxrChAFhRvRpkPP.svGf7nB2lLZZG/jWH5pIZQzgHpAlQke,,,,,,
8,Simone,admin3@gmail.com,t,$2b$12$xVJqDLjxrChAFhRvRpkPP.svGf7nB2lLZZG/jWH5pIZQzgHpAlQke,,,,,,
7,Amelia,admin2@gmail.com,t,$2b$12$xVJqDLjxrChAFhRvRpkPP.svGf7nB2lLZZG/jWH5pIZQzgHpAlQke,,,,,,
12,Helena,user2@gmail.com,f,$2b$12$qhpJ2.OaqXX99kULWpLk9.eBZ.h0yOA2/nep3butiW2i4OSI/T3Li,Via Pavesi,23,70345,TO,+39 333 444 5555,/images/user-profile.png
11,David,user1@gmail.com,f,$2b$12$.51QfoaF/rXi.bQrPwopeuivqFm.JbQXwAUKci3/pFOl8xAyty7se,Via Vittorio Emanuele,134,80147,MI,+39 333 444 5555,/images/user-profile.png
19,Denise,user3@gmail.com,f,$2b$12$YzfI/H17xEMIvI9XjYQhHeHZSR11kNBYTzYSa3GGE25fI.I8E5Q0i,Via Roma,39,00012,NA,+39 333 444 5555,/images/user-profile.png
